836;ML Road Frame-W - Yellow, 48;Yellow;360.9428;594.8300;01-07-2006;;;Road Frames;ML Road Frame-W;29847;Good Toys;;71774;2;01-06-2008;13-06-2008;08-06-2008;5;0;1092;1092;CARGO TRANSPORT 5;;972.7850
822;ML Road Frame-W - Yellow, 38;Yellow;360.9428;594.8300;01-07-2006;;;Road Frames;ML Road Frame-W;29847;Good Toys;;71774;2;01-06-2008;13-06-2008;08-06-2008;5;0;1092;1092;CARGO TRANSPORT 5;;972.7850
907;Rear Brakes;Silver;47.2860;106.5000;01-07-2007;;;Brakes;Rear Brakes;30072;West Side Mart;;71776;2;01-06-2008;13-06-2008;08-06-2008;5;0;640;640;CARGO TRANSPORT 5;;87.0851
905;ML Mountain Frame-W - Silver, 42;Silver;199.3757;364.0900;01-07-2007;;;Mountain Frames;ML Mountain Frame-W;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
983;Mountain-400-W Silver, 46;Silver;419.7784;769.4900;01-07-2007;;;Mountain Bikes;Mountain-400-W;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
988;Mountain-500 Silver, 52;Silver;308.2179;564.9900;01-07-2007;;;Mountain Bikes;Mountain-500;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
748;HL Mountain Frame - Silver, 38;Silver;747.2002;1364.5000;01-07-2005;;;Mountain Frames;HL Mountain Frame;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
990;Mountain-500 Black, 42;Black;294.5797;539.9900;01-07-2007;;;Mountain Bikes;Mountain-500;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
926;LL Mountain Frame - Black, 48;Black;136.7850;249.7900;01-07-2007;;;Mountain Frames;LL Mountain Frame;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
743;HL Mountain Frame - Black, 42;Black;739.0410;1349.6000;01-07-2005;;;Mountain Frames;HL Mountain Frame;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
782;Mountain-200 Black, 38;Black;1251.9813;2294.9900;01-07-2006;;;Mountain Bikes;Mountain-200;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
918;LL Mountain Frame - Silver, 44;Silver;144.5938;264.0500;01-07-2007;;;Mountain Frames;LL Mountain Frame;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
780;Mountain-200 Silver, 42;Silver;1265.6195;2319.9900;01-07-2006;;;Mountain Bikes;Mountain-200;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
937;HL Mountain Pedal;Silver/Black;35.9596;80.9900;01-07-2007;;;Pedals;HL Mountain Pedal;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
867;Women's Mountain Shorts, S;Black;26.1763;69.9900;01-07-2007;;;Shorts;Women's Mountain Shorts;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
985;Mountain-500 Silver, 42;Silver;308.2179;564.9900;01-07-2007;;;Mountain Bikes;Mountain-500;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
989;Mountain-500 Black, 40;Black;294.5797;539.9900;01-07-2007;;;Mountain Bikes;Mountain-500;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
991;Mountain-500 Black, 44;Black;294.5797;539.9900;01-07-2007;;;Mountain Bikes;Mountain-500;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
992;Mountain-500 Black, 48;Black;294.5797;539.9900;01-07-2007;;;Mountain Bikes;Mountain-500;30113;Nearby Cycle Shop;;71780;2;01-06-2008;13-06-2008;08-06-2008;5;0;653;653;CARGO TRANSPORT 5;;42452.6519
