CustomerID;AddressID;rowguid;ModifiedDate
29485;1086;16765338-DBE4-4421-B5E9-3836B9278E63;01-09-2007
29486;621;22B3E910-14AF-4ED5-8B4D-23BBE757414D;01-09-2005
29489;1069;A095C88B-D7E6-4178-A078-2ECA44214801;01-07-2005
29490;887;F12E1702-D897-4035-B614-0FE2C72168A9;01-09-2006
29492;618;5B3B3EB2-3F43-47ED-A20C-23697DABF23B;01-12-2006
29494;537;492D92B6-31AF-47EA-8E00-7C11C7CCC20D;01-09-2005
29496;1072;0A66B0F3-24BC-4148-9661-26E935CEC99A;01-09-2007
29497;889;7E0B56FD-7324-4898-BEDB-2F56A843BB0F;01-07-2005
29499;527;C90CB0C3-976A-4075-A2B9-13136F4F1A92;01-09-2006
29502;893;8ACB1C6A-7CDF-417B-AFD5-9F4C642F3C7E;01-07-2007
29503;32;BE00FFC6-194B-44E9-A129-DFBEB8F1301F;01-08-2006
29503;541;6811DBE3-1F02-440C-932E-A54F403B3E51;01-08-2006
29505;1083;740A06AF-77F1-45CA-B284-38537324F86A;01-05-2007
29506;1082;DD51A14D-45F5-44E9-BF3B-260F0E08E545;01-08-2007
29508;619;2DD326F6-02DA-44B7-96FB-B3A86067C5EE;01-12-2005
29510;540;AF6DCC27-DCCB-40DE-9445-3F4990AABD28;01-08-2005
29511;1046;61CB8C51-7C96-4306-8050-56C90504972B;01-08-2005
29515;504;A5F1A232-3CCE-4149-9892-DE9895BC0F07;01-08-2005
29517;794;DB4D3044-7BF4-4D65-B48E-3FF927A842F0;01-08-2007
29521;1054;C0F708C3-9147-44C4-B6CB-FD5B765343C0;01-08-2005
29522;1040;997006D9-674C-4153-86D0-2EFA7E1FEBF4;01-08-2005
29523;593;15D1E8B0-E626-465C-A565-98500B56C077;01-08-2005
29524;599;75724647-82A0-49C5-A841-F991BBAEBE18;01-08-2007
29525;1049;E1E5AF17-D958-4A88-B537-444F2BE24538;01-09-2005
29527;512;DECEF565-C5D1-4396-A45F-27C635833B31;01-09-2007
29528;788;65C98567-6A79-44F0-BE71-264547362402;01-09-2006
29530;495;2A12A463-DCA0-480F-83D6-AB58A43E1D24;01-09-2006
29531;1061;14E08CFE-CF7E-4E76-A5FD-7624CAE2482E;01-12-2005
29532;881;4AC4ECBE-4775-492A-8776-41237D7C6ABA;01-10-2006
29533;801;CD6229C0-A0FA-4A48-B4E1-D1C02437CAA8;01-07-2005
29535;591;26821E31-0E0E-4D73-A494-34F630B636C4;01-09-2006
29536;786;EFA08457-C8D8-4DAF-A27F-BF6DFAF76863;01-12-2006
29539;480;6F7DDA53-7B9D-4710-AEB9-20EA0EA5098B;01-08-2005
